Run_ID,Accuracy,Duration,LR,Flex,Lat_Str,Thresh,Kerr,Sys_E

0,86.07%,89.3s,0.02500,0.1250,0.2000,0.35,0.50,10.0
1,83.00%,101.0s,0.00233,0.1352,0.4922,0.39,0.57,12.7
2,76.29%,96.9s,0.00550,0.1954,0.4892,0.45,0.19,46.6
3,79.75%,96.2s,0.00859,0.2879,0.4930,0.24,7.93,48.5
4,74.44%,93.5s,0.00110,0.0606,0.3592,0.36,4.30,42.1
5,80.76%,93.0s,0.04666,0.2798,0.2814,0.28,0.11,28.7
6,79.04%,97.5s,0.02076,0.1224,0.4534,0.22,3.34,5.6
7,84.05%,83.1s,0.01099,0.0574,0.1734,0.48,4.46,22.3
8,79.46%,89.9s,0.00237,0.0767,0.2409,0.43,0.44,19.7
9,80.95%,94.4s,0.00488,0.2750,0.4999,0.35,0.70,49.6
10,76.58%,100.0s,0.03832,0.2165,0.2187,0.23,4.72,30.8
11,81.37%,92.1s,0.00508,0.1654,0.2886,0.42,1.94,34.3
12,81.82%,102.9s,0.02926,0.1243,0.4690,0.27,0.43,38.3
13,78.54%,137.5s,0.00137,0.2695,0.3387,0.35,0.19,22.1
14,84.24%,117.5s,0.00253,0.0649,0.4431,0.45,9.61,9.4
15,74.04%,135.0s,0.00106,0.1257,0.1694,0.38,2.40,42.1
16,84.04%,120.1s,0.01534,0.0638,0.3823,0.48,0.85,41.9
17,80.10%,122.7s,0.00665,0.2186,0.2567,0.49,1.84,36.0
18,81.36%,124.5s,0.00989,0.0709,0.4748,0.45,0.43,49.2
19,78.89%,137.4s,0.00172,0.2849,0.1575,0.33,0.28,39.1
20,83.81%,134.9s,0.00882,0.1976,0.3177,0.35,0.10,25.9
21,81.49%,127.6s,0.00193,0.0587,0.2204,0.37,0.52,17.3
22,79.98%,126.1s,0.00273,0.2484,0.0628,0.49,0.39,18.7
23,82.49%,138.5s,0.01863,0.2286,0.4973,0.28,0.18,29.5
24,84.92%,123.4s,0.01122,0.0589,0.3255,0.42,1.01,32.6
25,82.87%,111.3s,0.00559,0.1583,0.0759,0.30,8.67,35.5
26,84.22%,106.6s,0.00214,0.1572,0.3510,0.43,7.59,15.6
27,81.26%,95.3s,0.00130,0.2332,0.3734,0.27,0.30,12.2
28,76.77%,92.5s,0.00482,0.1975,0.2536,0.47,0.10,28.1
29,74.58%,98.1s,0.06572,0.2885,0.4842,0.26,4.44,40.7
30,84.31%,95.1s,0.03282,0.1523,0.3904,0.34,0.21,40.8
31,77.01%,95.7s,0.02191,0.0520,0.3639,0.20,0.11,17.0
32,74.22%,85.6s,0.00323,0.1128,0.3550,0.50,0.60,38.5
33,86.14%,89.4s,0.00157,0.1461,0.3444,0.44,0.12,6.3
34,83.63%,88.0s,0.00965,0.0876,0.1395,0.40,5.80,29.1
35,79.77%,95.8s,0.00146,0.0881,0.2529,0.31,0.26,21.0
36,80.12%,96.1s,0.01272,0.2390,0.4087,0.22,0.10,22.7
37,82.32%,96.3s,0.00435,0.0818,0.1292,0.24,9.72,18.7
38,83.25%,95.1s,0.00636,0.2582,0.2386,0.26,0.89,15.8
39,79.91%,99.0s,0.00202,0.1276,0.1476,0.26,0.28,36.6
40,69.31%,98.8s,0.06346,0.2691,0.3954,0.22,0.69,32.2
41,81.27%,99.1s,0.00334,0.2308,0.1989,0.29,0.43,42.3
42,83.08%,89.4s,0.03818,0.0704,0.0297,0.30,7.73,19.4
43,78.73%,99.8s,0.01849,0.1583,0.2189,0.21,4.29,34.7
44,79.49%,99.9s,0.01444,0.1895,0.0038,0.21,0.24,44.8
45,84.40%,91.2s,0.04635,0.2572,0.2276,0.34,0.16,32.0
46,85.15%,93.1s,0.01606,0.2997,0.0747,0.40,0.96,22.5
47,82.64%,83.2s,0.00142,0.0745,0.3164,0.47,1.77,5.7
48,84.31%,93.0s,0.00922,0.1003,0.3886,0.36,0.62,23.8
49,86.95%,89.5s,0.03561,0.1901,0.2654,0.43,6.37,30.9
50,79.58%,100.1s,0.01255,0.2854,0.3915,0.22,1.82,33.4
51,84.42%,96.4s,0.01448,0.2782,0.2261,0.33,3.00,47.3
52,81.07%,95.7s,0.00215,0.1841,0.4746,0.28,0.11,15.5
53,82.62%,97.8s,0.02722,0.2793,0.2270,0.28,0.32,23.5
54,82.68%,100.4s,0.00689,0.1872,0.4837,0.26,7.55,9.8
55,82.65%,95.7s,0.01096,0.0789,0.1584,0.26,2.52,32.3
56,84.58%,99.6s,0.01485,0.2612,0.1702,0.39,0.25,46.4
57,78.65%,114.1s,0.02769,0.1062,0.0742,0.22,0.15,40.1
58,76.50%,97.9s,0.03981,0.0936,0.0885,0.23,1.32,44.4
59,80.30%,91.6s,0.00294,0.2917,0.1718,0.43,5.67,40.3
60,81.86%,95.2s,0.00684,0.1672,0.0397,0.38,0.20,43.2
61,85.96%,92.5s,0.00127,0.1543,0.3261,0.39,0.11,7.9
62,86.81%,90.5s,0.03367,0.2667,0.4107,0.44,2.31,20.0
63,80.87%,98.8s,0.03448,0.2807,0.4300,0.27,0.51,6.2
64,75.10%,98.6s,0.03270,0.2966,0.0478,0.21,0.11,10.4
65,83.21%,89.5s,0.01120,0.0921,0.0262,0.46,0.30,25.1
66,79.72%,92.8s,0.00588,0.1620,0.4233,0.45,1.87,39.2
67,81.11%,91.3s,0.00234,0.1274,0.3825,0.37,0.83,33.5
68,57.20%,124.9s,0.00204,0.0629,0.1815,0.50,0.15,42.3
69,70.17%,144.7s,0.07355,0.1820,0.1604,0.23,1.97,7.4
70,84.40%,116.6s,0.02249,0.0906,0.3649,0.32,0.28,46.7
71,86.95%,90.5s,0.09006,0.2468,0.1381,0.43,0.31,33.9
72,88.24%,83.6s,0.05354,0.1440,0.4156,0.46,1.69,36.6
73,86.50%,89.4s,0.02172,0.1638,0.3990,0.46,0.44,32.6
74,83.61%,95.0s,0.01051,0.1486,0.3879,0.31,0.33,35.0
75,77.29%,99.9s,0.00132,0.1645,0.3777,0.21,5.02,43.5
76,86.95%,90.2s,0.04564,0.1676,0.2420,0.44,0.46,47.5
77,83.97%,93.7s,0.02911,0.2212,0.2238,0.32,0.99,29.7
78,79.47%,99.7s,0.02300,0.2663,0.2128,0.24,0.92,46.9
79,80.41%,96.7s,0.00198,0.2015,0.3567,0.21,0.41,16.6
80,81.77%,95.8s,0.01623,0.0883,0.1237,0.26,0.15,32.3
81,84.09%,90.0s,0.00330,0.0536,0.1655,0.35,6.44,10.5
82,81.66%,99.1s,0.00773,0.2828,0.2214,0.23,0.12,8.7
83,79.22%,98.7s,0.00177,0.1226,0.3364,0.23,0.20,35.9
84,79.72%,123.3s,0.01279,0.2205,0.1627,0.22,0.28,39.9
85,84.87%,125.5s,0.01438,0.2613,0.4767,0.44,0.23,22.5
86,84.30%,121.7s,0.00427,0.1145,0.3610,0.44,0.19,7.5
87,83.78%,131.2s,0.00306,0.2881,0.1905,0.38,2.64,20.2
88,81.24%,123.3s,0.00713,0.2280,0.1041,0.44,7.28,44.8
89,86.97%,88.6s,0.02566,0.1275,0.4534,0.47,1.10,7.3
90,82.31%,97.0s,0.00701,0.2416,0.4069,0.32,0.35,37.1
91,83.30%,97.4s,0.01214,0.0657,0.3890,0.27,8.96,27.8
92,77.77%,125.6s,0.00708,0.1838,0.0867,0.49,0.11,23.1
93,82.78%,136.7s,0.00678,0.1030,0.0622,0.27,0.56,18.3
94,85.54%,129.4s,0.05308,0.2029,0.0321,0.39,1.74,43.3
95,87.80%,118.6s,0.06404,0.1994,0.1033,0.47,7.78,43.6
96,81.69%,139.9s,0.00186,0.2680,0.1049,0.27,0.93,15.8
97,87.38%,125.7s,0.05025,0.1954,0.0275,0.41,0.48,38.5
98,79.68%,129.7s,0.00519,0.2906,0.4315,0.43,3.01,36.3
99,81.86%,120.0s,0.00636,0.2182,0.3853,0.49,0.98,11.1
100,77.90%,127.1s,0.00104,0.0951,0.1191,0.47,6.21,20.9
101,81.83%,140.0s,0.00835,0.1436,0.1239,0.22,1.99,32.5
102,78.61%,129.4s,0.00412,0.1338,0.3574,0.43,0.63,37.6
103,83.03%,139.3s,0.00211,0.2898,0.1942,0.27,1.52,8.6
104,87.61%,91.3s,0.03334,0.2084,0.4755,0.47,1.21,27.2
105,80.21%,93.0s,0.00488,0.0813,0.0642,0.23,0.50,36.5
106,84.61%,90.8s,0.00381,0.2698,0.4574,0.43,7.39,6.0
107,77.58%,96.8s,0.00115,0.1864,0.1661,0.25,0.18,34.1
108,79.59%,99.0s,0.00111,0.2901,0.1041,0.28,8.04,35.8
109,81.35%,89.9s,0.07145,0.0887,0.2525,0.32,9.70,39.0
110,81.07%,94.0s,0.00228,0.0636,0.1445,0.29,4.87,34.7
111,78.85%,92.7s,0.00244,0.1774,0.4068,0.45,1.55,35.7
112,84.49%,87.5s,0.00170,0.2738,0.2775,0.44,4.70,14.2
113,84.78%,86.7s,0.01328,0.0588,0.0872,0.44,5.11,25.1
114,81.72%,87.3s,0.00764,0.2637,0.3889,0.46,2.59,34.0
115,80.89%,89.2s,0.00876,0.2128,0.2168,0.50,1.66,32.1
116,83.25%,90.5s,0.00851,0.1955,0.2466,0.37,0.12,24.5
117,83.68%,93.3s,0.01117,0.2429,0.4655,0.40,0.52,38.2
118,85.13%,91.9s,0.01694,0.1126,0.4472,0.38,0.26,41.6
119,82.16%,89.5s,0.00699,0.1902,0.1743,0.40,0.15,35.7
120,87.60%,88.0s,0.04558,0.1969,0.2143,0.48,8.74,33.0
121,85.86%,87.1s,0.02218,0.2253,0.4824,0.41,2.29,41.1
122,77.14%,98.9s,0.00152,0.1232,0.1937,0.21,0.75,31.2
123,84.94%,90.0s,0.00214,0.1853,0.2762,0.44,9.58,10.0
124,85.46%,89.6s,0.05352,0.2789,0.1598,0.38,0.10,40.9
125,85.48%,92.8s,0.01256,0.1324,0.1478,0.37,0.34,14.3
126,83.89%,88.9s,0.02781,0.0719,0.3510,0.32,0.76,22.2
127,82.69%,91.9s,0.00397,0.1021,0.2817,0.38,0.69,14.5
128,84.30%,85.9s,0.00234,0.0681,0.2508,0.38,0.75,7.6
129,79.32%,92.4s,0.00428,0.2714,0.3141,0.45,0.70,39.3
130,84.59%,95.1s,0.01756,0.2097,0.1280,0.35,0.61,43.9
131,81.52%,96.6s,0.00445,0.1473,0.2565,0.33,0.66,43.7
132,74.23%,91.5s,0.00148,0.1551,0.4447,0.42,3.76,43.8
133,81.05%,98.8s,0.00761,0.2207,0.3457,0.24,1.69,13.1
134,80.57%,98.3s,0.02677,0.2837,0.1792,0.26,0.13,40.8
135,79.65%,99.4s,0.01047,0.2165,0.2822,0.20,0.12,10.1
136,84.85%,93.5s,0.06205,0.1929,0.4495,0.36,1.27,41.9
137,81.98%,94.6s,0.02944,0.2325,0.0145,0.28,1.39,33.3
138,72.40%,94.6s,0.00177,0.2212,0.2210,0.44,0.34,43.5
139,82.68%,97.0s,0.00342,0.2511,0.0396,0.30,7.63,33.6
140,85.40%,92.5s,0.04379,0.1187,0.1416,0.34,2.72,30.6
141,83.52%,89.2s,0.00838,0.2287,0.4044,0.48,1.14,7.5
142,81.81%,93.3s,0.04914,0.1596,0.0403,0.30,0.26,14.5
143,82.60%,96.5s,0.00516,0.2521,0.1216,0.32,0.12,17.7
144,84.74%,90.8s,0.02282,0.1495,0.3685,0.34,6.70,35.0
145,80.14%,98.8s,0.00124,0.1460,0.4538,0.22,0.34,21.9
146,79.45%,103.0s,0.02034,0.2053,0.4513,0.23,0.12,27.2
147,81.73%,106.1s,0.00224,0.0840,0.4732,0.38,0.42,13.2
148,85.13%,92.8s,0.08536,0.2109,0.2286,0.39,5.94,20.8
149,83.74%,94.5s,0.01020,0.2223,0.0231,0.30,3.87,44.5
150,82.31%,91.1s,0.00381,0.2313,0.1301,0.43,0.34,17.4
151,73.65%,97.9s,0.04750,0.1622,0.2170,0.22,0.65,40.3
152,75.14%,95.7s,0.00103,0.1621,0.3378,0.41,1.49,36.5
153,81.51%,84.3s,0.00391,0.1895,0.4083,0.49,1.76,14.2
154,84.01%,93.2s,0.01071,0.1800,0.1423,0.40,1.81,43.8
155,75.89%,89.3s,0.00207,0.1151,0.3198,0.45,8.06,38.2
156,82.17%,88.9s,0.00825,0.0932,0.3393,0.46,3.48,24.1
157,84.53%,94.9s,0.02292,0.1189,0.2302,0.33,0.55,39.0
158,74.25%,98.3s,0.03917,0.1888,0.3229,0.21,3.73,10.4
159,78.63%,100.1s,0.00290,0.2199,0.4430,0.20,1.31,49.7
160,86.85%,85.1s,0.05166,0.0853,0.0550,0.40,1.31,10.8
161,81.53%,99.2s,0.00457,0.1951,0.2044,0.23,0.82,22.1
162,83.48%,92.2s,0.00102,0.0604,0.1863,0.33,2.48,10.5
163,84.68%,89.3s,0.01177,0.0836,0.0493,0.34,2.66,23.0
164,80.54%,98.6s,0.01943,0.1627,0.4390,0.24,3.74,6.1
165,85.62%,91.0s,0.04447,0.0747,0.0540,0.36,0.43,46.2
166,83.99%,95.8s,0.00438,0.1530,0.0499,0.33,0.55,8.9
167,80.48%,97.7s,0.00541,0.2373,0.2031,0.24,2.39,47.3
168,84.03%,94.1s,0.06602,0.2855,0.1249,0.36,3.01,8.8
169,82.32%,93.6s,0.05862,0.1810,0.1336,0.31,0.15,40.3
170,81.05%,98.6s,0.01095,0.1517,0.0515,0.23,0.96,27.7
171,82.49%,89.5s,0.00869,0.2125,0.4440,0.49,7.26,23.5
172,87.53%,85.2s,0.03320,0.0759,0.1644,0.48,0.23,8.5
173,77.58%,99.3s,0.00106,0.2599,0.1937,0.31,0.81,38.0
174,69.96%,94.2s,0.08214,0.0652,0.3152,0.24,4.04,47.9
175,82.26%,96.3s,0.06583,0.2583,0.2602,0.33,3.13,48.0
176,80.01%,86.1s,0.00175,0.2958,0.2763,0.49,2.14,24.9
177,83.56%,96.8s,0.02286,0.2574,0.3810,0.31,0.21,10.1
178,82.58%,97.1s,0.03749,0.1782,0.2493,0.30,5.44,8.8
179,82.44%,92.6s,0.00465,0.1285,0.0321,0.33,0.59,28.0
180,84.07%,95.0s,0.00800,0.1711,0.2152,0.36,8.99,31.5
181,79.45%,94.4s,0.00123,0.1134,0.1762,0.30,0.42,27.2
182,82.24%,88.2s,0.00681,0.0875,0.3702,0.47,6.99,24.1
183,82.19%,93.2s,0.00882,0.1721,0.3058,0.34,0.11,40.7
184,82.60%,92.6s,0.01155,0.1125,0.3101,0.44,0.23,44.7
185,80.23%,95.5s,0.01036,0.1106,0.0001,0.21,1.52,37.5
186,81.65%,99.4s,0.00230,0.1851,0.3270,0.28,1.23,30.5
187,85.52%,91.9s,0.00151,0.2838,0.0451,0.43,2.36,6.2
188,81.18%,100.3s,0.00792,0.1780,0.0010,0.23,1.45,45.8
189,84.01%,89.4s,0.01463,0.1010,0.3417,0.49,8.71,36.0
190,83.00%,96.7s,0.06749,0.1907,0.0557,0.34,2.60,24.2
191,83.90%,96.7s,0.00199,0.2091,0.0632,0.35,6.35,16.4
192,78.84%,98.4s,0.00114,0.0950,0.3825,0.29,1.13,35.4
193,85.42%,91.7s,0.00183,0.1866,0.1821,0.44,4.72,8.3
194,75.61%,98.3s,0.00145,0.2564,0.3748,0.38,4.39,44.8
195,80.22%,100.0s,0.00320,0.2180,0.1090,0.29,4.49,45.1
196,76.95%,98.2s,0.00169,0.0697,0.1621,0.21,0.27,48.8
197,81.30%,100.3s,0.00429,0.1671,0.2518,0.22,0.11,12.8
198,83.42%,92.2s,0.00531,0.2682,0.4203,0.44,2.30,11.5
199,82.30%,97.2s,0.00708,0.0962,0.4371,0.28,0.83,38.5
200,85.53%,84.7s,0.02505,0.0730,0.2495,0.43,0.13,45.1
201,79.71%,97.3s,0.00312,0.0694,0.1794,0.23,5.63,46.7
202,68.46%,101.5s,0.07299,0.1048,0.3341,0.22,0.20,33.9
203,83.02%,99.7s,0.00528,0.2983,0.2444,0.26,0.20,19.0
204,80.36%,100.2s,0.00114,0.2480,0.0085,0.26,0.33,15.3
205,79.91%,99.7s,0.03392,0.2865,0.3565,0.25,7.98,18.9
206,79.67%,95.7s,0.00253,0.0782,0.0908,0.32,0.23,29.1
207,82.94%,95.3s,0.00190,0.2398,0.2104,0.39,3.20,22.4
208,83.98%,95.2s,0.00415,0.2396,0.1540,0.37,3.94,13.3
209,84.78%,84.6s,0.01372,0.0607,0.2465,0.41,0.37,8.9
210,79.34%,94.3s,0.00433,0.2919,0.2879,0.44,0.90,40.8
211,78.92%,96.7s,0.00385,0.1512,0.2418,0.22,0.14,14.5
212,81.55%,98.8s,0.03002,0.2908,0.2396,0.28,0.30,16.6
213,84.11%,93.6s,0.02210,0.2575,0.2234,0.33,7.21,7.5
214,81.37%,100.0s,0.00308,0.3000,0.4709,0.24,5.99,26.0
215,83.40%,95.3s,0.01337,0.2228,0.2631,0.29,0.25,5.1
216,83.55%,92.7s,0.01335,0.1799,0.2899,0.44,0.21,22.3
217,72.91%,97.9s,0.05112,0.1259,0.3588,0.22,4.67,37.2
218,75.34%,95.4s,0.00157,0.2986,0.0719,0.44,0.59,41.6
219,85.69%,89.4s,0.07836,0.2330,0.3969,0.40,8.42,43.0
220,82.92%,95.6s,0.04605,0.0981,0.1308,0.32,0.26,42.1
221,73.20%,112.3s,0.04726,0.1328,0.2136,0.22,5.14,24.1
222,81.78%,98.1s,0.00196,0.0975,0.0842,0.24,0.15,13.7
223,78.38%,88.9s,0.00316,0.1077,0.3389,0.43,0.33,27.7
224,85.39%,92.3s,0.01435,0.2727,0.4689,0.42,4.43,13.5
225,79.68%,100.0s,0.01228,0.2757,0.4236,0.21,2.07,43.4
226,83.29%,94.2s,0.00996,0.0588,0.0694,0.26,0.53,16.5
227,81.90%,96.5s,0.00205,0.1873,0.2209,0.35,3.20,30.7
228,75.96%,93.9s,0.00162,0.1590,0.2782,0.45,1.20,34.9
229,86.30%,90.0s,0.02190,0.0929,0.4445,0.41,3.10,8.8
230,81.73%,96.5s,0.00184,0.2887,0.1054,0.25,0.22,10.5
231,83.61%,93.7s,0.09164,0.1689,0.1786,0.37,0.12,26.9
232,83.30%,97.4s,0.00398,0.1454,0.2066,0.30,0.20,10.0
233,73.58%,91.9s,0.00160,0.1002,0.2291,0.48,0.58,25.5
234,75.62%,90.2s,0.00419,0.0670,0.2202,0.47,0.44,40.0
235,86.34%,91.5s,0.02480,0.2730,0.0918,0.42,1.00,47.0
236,80.35%,92.6s,0.00205,0.1623,0.3671,0.45,2.80,26.3
237,83.95%,93.7s,0.01515,0.2649,0.4992,0.31,0.33,39.9
238,82.90%,94.3s,0.00385,0.2624,0.0568,0.39,1.88,8.5
239,78.44%,97.5s,0.00148,0.2189,0.0283,0.29,0.50,38.8
240,86.54%,92.7s,0.06049,0.2423,0.2256,0.39,0.86,5.3
241,85.37%,88.4s,0.00321,0.1038,0.4814,0.47,0.19,7.2
242,77.45%,99.1s,0.03767,0.1111,0.4902,0.24,6.34,21.6
243,82.82%,133.3s,0.00540,0.0779,0.4542,0.28,0.32,8.9
244,73.48%,143.0s,0.03693,0.1304,0.1324,0.20,0.12,46.2
245,83.36%,110.6s,0.00173,0.1782,0.1202,0.36,5.02,18.9
246,77.36%,105.3s,0.00133,0.2824,0.2771,0.23,2.10,30.8
247,84.64%,93.6s,0.02801,0.0943,0.1597,0.33,0.11,48.2
248,79.75%,98.6s,0.00238,0.1461,0.1111,0.29,0.36,45.4
249,84.56%,94.6s,0.01203,0.1119,0.1715,0.33,6.80,40.4
250,74.53%,100.4s,0.06450,0.1849,0.1272,0.25,1.20,22.7
251,83.47%,94.5s,0.00456,0.0650,0.4147,0.25,0.77,9.3
252,82.09%,96.0s,0.00162,0.2502,0.4859,0.35,1.09,22.9
253,77.63%,98.9s,0.00164,0.1722,0.1019,0.31,2.12,49.6
254,78.36%,96.8s,0.03244,0.2477,0.4707,0.23,1.92,15.3
255,78.53%,98.9s,0.03871,0.1449,0.4076,0.25,0.20,14.9
256,75.31%,97.0s,0.00171,0.2139,0.0750,0.38,0.39,48.4
257,85.45%,90.0s,0.01834,0.0915,0.0039,0.42,0.59,38.9
258,85.54%,91.4s,0.02128,0.2146,0.3242,0.34,1.13,15.3
259,83.25%,92.4s,0.00579,0.0637,0.0005,0.34,4.15,26.1
260,82.30%,95.1s,0.00101,0.2022,0.3467,0.28,1.06,12.4
261,81.51%,96.5s,0.03445,0.1096,0.4556,0.28,8.60,25.5
262,78.47%,100.4s,0.00340,0.2463,0.3253,0.20,2.04,49.1
263,84.11%,90.6s,0.01642,0.2550,0.1536,0.48,9.65,42.4
264,72.14%,88.1s,0.00205,0.1014,0.3353,0.47,7.62,45.6
265,83.82%,94.8s,0.00319,0.2011,0.2981,0.36,8.37,6.6
266,82.67%,95.8s,0.03088,0.0936,0.4375,0.28,0.11,12.4
267,77.74%,91.9s,0.00818,0.2620,0.1020,0.48,0.14,41.6
268,83.92%,95.2s,0.01316,0.1324,0.4442,0.32,0.49,11.3
269,86.96%,91.1s,0.06618,0.2586,0.4876,0.40,0.62,8.1
270,81.67%,93.5s,0.00557,0.2163,0.1883,0.41,0.70,39.1
271,86.59%,90.1s,0.02466,0.1506,0.1252,0.42,0.32,16.0
272,81.02%,95.6s,0.00521,0.1915,0.4864,0.38,4.59,40.9
273,85.44%,91.1s,0.01899,0.1664,0.2693,0.46,1.16,48.8
274,83.55%,96.0s,0.05630,0.1398,0.4004,0.34,1.93,20.3
275,81.43%,98.3s,0.00584,0.0968,0.1450,0.23,5.20,19.5
276,82.06%,90.4s,0.00106,0.0656,0.1668,0.43,2.76,12.5
277,83.08%,96.8s,0.00703,0.2185,0.4269,0.35,9.86,43.8
278,87.05%,92.2s,0.05879,0.2009,0.4960,0.42,0.17,38.4
279,77.48%,93.4s,0.00337,0.2479,0.2478,0.46,5.07,43.0
280,81.73%,96.5s,0.00470,0.1376,0.4729,0.33,4.09,28.9
281,86.47%,91.3s,0.03097,0.2074,0.1309,0.44,0.17,45.9
282,80.74%,97.0s,0.00611,0.0847,0.3579,0.22,0.29,36.5
283,86.93%,90.5s,0.07428,0.2640,0.4723,0.42,8.47,33.6
284,83.18%,93.4s,0.02747,0.2046,0.4604,0.30,2.10,31.6
285,81.56%,97.2s,0.04868,0.1609,0.2219,0.30,0.47,39.6
286,81.49%,94.3s,0.02516,0.1322,0.1820,0.25,0.13,42.6
287,81.02%,95.0s,0.00694,0.2085,0.0590,0.38,0.28,45.2
288,84.93%,88.7s,0.00111,0.0796,0.0727,0.34,1.94,6.7
289,77.56%,98.7s,0.00144,0.2473,0.1165,0.31,0.78,44.1
290,81.23%,92.6s,0.07233,0.0630,0.1898,0.31,2.91,37.2
291,82.43%,99.4s,0.00225,0.2434,0.2788,0.24,1.32,10.3
292,80.66%,94.1s,0.00171,0.0997,0.0296,0.20,3.49,15.7
293,87.08%,90.8s,0.06703,0.1368,0.2085,0.41,4.45,12.3
294,75.95%,97.2s,0.03244,0.2850,0.1347,0.22,0.51,47.7
295,84.82%,89.7s,0.01686,0.1311,0.2042,0.48,0.24,26.3
296,82.26%,92.5s,0.05139,0.1241,0.4783,0.31,0.18,9.0
297,82.80%,95.1s,0.03662,0.0981,0.0533,0.30,1.26,19.3
298,74.99%,97.9s,0.00177,0.1523,0.3853,0.35,0.11,33.3
299,85.34%,88.9s,0.02130,0.0665,0.2411,0.42,0.49,49.5
300,69.54%,92.8s,0.00156,0.0837,0.2880,0.47,1.61,46.1
301,87.67%,88.8s,0.04758,0.1334,0.1278,0.47,0.14,28.0
302,84.99%,91.9s,0.01237,0.2140,0.0852,0.42,1.25,10.1
303,84.50%,91.6s,0.01211,0.1479,0.0096,0.41,0.17,6.2
304,80.90%,99.6s,0.00823,0.2267,0.0690,0.23,2.65,32.1
305,85.89%,94.3s,0.04620,0.2454,0.4874,0.35,0.88,26.2
306,78.65%,93.5s,0.00731,0.1803,0.1091,0.47,1.44,49.8
307,77.89%,94.0s,0.00171,0.0935,0.2763,0.40,0.68,31.9
308,86.58%,89.0s,0.02740,0.2021,0.2808,0.47,0.22,16.2
309,83.03%,96.1s,0.02142,0.1076,0.2008,0.29,2.50,29.7
310,85.97%,95.0s,0.02432,0.2900,0.2671,0.36,3.39,23.3
311,82.22%,91.4s,0.00805,0.2159,0.1505,0.47,0.70,15.2
312,83.52%,92.8s,0.00682,0.1464,0.1365,0.42,2.51,8.5
313,80.82%,92.4s,0.00207,0.0861,0.1526,0.33,0.53,33.1
314,84.20%,92.6s,0.00915,0.0965,0.1879,0.39,1.47,31.7
315,88.32%,85.4s,0.07656,0.2580,0.3033,0.47,5.12,28.7
316,83.72%,95.1s,0.02620,0.0873,0.1741,0.31,0.11,42.1
317,81.96%,96.4s,0.05671,0.1289,0.0612,0.31,0.43,31.0
318,81.70%,92.4s,0.00940,0.2381,0.4116,0.44,5.59,41.9
319,85.10%,90.5s,0.01956,0.0511,0.4828,0.35,0.15,26.0
320,70.22%,101.9s,0.08230,0.1882,0.3962,0.24,0.65,38.0
321,87.56%,89.9s,0.06136,0.1958,0.1851,0.45,0.77,41.2
322,84.34%,128.0s,0.03571,0.2306,0.2772,0.33,1.08,40.5
323,80.27%,133.6s,0.00227,0.2063,0.2272,0.29,4.51,40.6
324,80.43%,104.1s,0.02978,0.2515,0.2873,0.26,0.58,8.8
325,80.64%,99.4s,0.00772,0.1464,0.0988,0.22,1.40,19.6
326,81.21%,127.8s,0.00631,0.1000,0.4123,0.29,1.64,44.5
327,84.06%,118.0s,0.02650,0.0823,0.0497,0.32,0.81,33.5
328,83.98%,95.2s,0.00921,0.1006,0.4392,0.31,1.87,17.2
329,84.65%,90.0s,0.00102,0.1595,0.4121,0.46,0.12,10.5
330,76.63%,97.1s,0.04018,0.2360,0.3076,0.23,0.10,34.6
331,82.36%,108.0s,0.00665,0.1997,0.1801,0.36,3.87,42.3
332,76.94%,141.9s,0.03330,0.1896,0.0322,0.22,0.48,16.9
333,81.94%,138.0s,0.00365,0.2364,0.1773,0.31,6.80,38.7
334,86.29%,118.4s,0.01737,0.1552,0.4065,0.48,0.11,7.8
335,84.46%,127.4s,0.00117,0.1186,0.4033,0.42,1.50,8.5
336,79.50%,101.4s,0.02877,0.1973,0.1107,0.24,4.99,35.1
337,87.43%,89.1s,0.05389,0.2756,0.3952,0.46,1.23,5.9
338,87.87%,83.1s,0.04744,0.0903,0.2921,0.43,2.75,21.6
